sep=;
time;model_id;model_name;port_name;data
0;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;3;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;4;noise;;{value: 0, sigma: 0.1}
0.1;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.1;2;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.1;3;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: 0}
0.1;4;noise;noise_out;0
0.1;4;noise;;{value: -13.2835, sigma: 0.1}
0.1;3;adder;sum_out;0
0.1;3;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0.2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.2;2;neuron1;potential_out;30
0.2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.2;3;adder;;{noise: -13.2835, n1: 30, n2: 0, sum: 13.7165, sigma: 0}
0.2;4;noise;noise_out;-13.2835
0.2;4;noise;;{value: -14.7934, sigma: 0.1}
0.2;3;adder;sum_out;13.7165
0.2;3;adder;;{noise: -13.2835, n1: 30, n2: 0, sum: 13.7165, sigma: inf}
0.3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.3;3;adder;;{noise: -14.7934, n1: 0, n2: 0, sum: -14.7934, sigma: 0}
0.3;4;noise;noise_out;-14.7934
0.3;4;noise;;{value: -0.649843, sigma: 0.1}
0.3;3;adder;sum_out;-14.7934
0.3;3;adder;;{noise: -14.7934, n1: 0, n2: 0, sum: -14.7934, sigma: inf}
0.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.4;3;adder;;{noise: -0.649843, n1: 0, n2: 0, sum: -0.649843, sigma: 0}
0.4;4;noise;noise_out;-0.649843
0.4;4;noise;;{value: 0.639798, sigma: 0.1}
0.4;3;adder;sum_out;-0.649843
0.4;3;adder;;{noise: -0.649843, n1: 0, n2: 0, sum: -0.649843, sigma: inf}
0.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.5;3;adder;;{noise: 0.639798, n1: 0, n2: 0, sum: 0.639798, sigma: 0}
0.5;4;noise;noise_out;0.639798
0.5;4;noise;;{value: 0.143151, sigma: 0.1}
0.5;3;adder;sum_out;0.639798
0.5;3;adder;;{noise: 0.639798, n1: 0, n2: 0, sum: 0.639798, sigma: inf}
0.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.6;3;adder;;{noise: 0.143151, n1: 0, n2: 0, sum: 0.143151, sigma: 0}
0.6;4;noise;noise_out;0.143151
0.6;4;noise;;{value: 7.96239, sigma: 0.1}
0.6;3;adder;sum_out;0.143151
0.6;3;adder;;{noise: 0.143151, n1: 0, n2: 0, sum: 0.143151, sigma: inf}
0.7;1;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.7;3;adder;;{noise: 7.96239, n1: 0, n2: 0, sum: 7.96239, sigma: 0}
0.7;4;noise;noise_out;7.96239
0.7;4;noise;;{value: 14.5194, sigma: 0.1}
