sep=;
time;model_id;model_name;port_name;data
0;1;electrode;;{input: -100, threshold: 25, sigma: inf}
0;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;6;noise;;{value: 0, sigma: 0.1}
0.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.1;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: 0}
0.1;6;noise;noise_out;0
0.1;6;noise;;{value: -13.0118, sigma: 0.1}
0.1;1;electrode;;{input: 0, threshold: 25, sigma: inf}
0.1;5;adder;sum_out;0
0.1;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.2;5;adder;;{noise: -13.0118, n1: 0, n2: 0, sum: -13.0118, sigma: 0}
0.2;6;noise;noise_out;-13.0118
0.2;6;noise;;{value: -0.596605, sigma: 0.1}
0.2;1;electrode;;{input: -13.0118, threshold: 25, sigma: inf}
0.2;5;adder;sum_out;-13.0118
0.2;5;adder;;{noise: -13.0118, n1: 0, n2: 0, sum: -13.0118, sigma: inf}
0.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.3;5;adder;;{noise: -0.596605, n1: 0, n2: 0, sum: -0.596605, sigma: 0}
0.3;6;noise;noise_out;-0.596605
0.3;6;noise;;{value: -2.80165, sigma: 0.1}
0.3;1;electrode;;{input: -0.596605, threshold: 25, sigma: inf}
0.3;5;adder;sum_out;-0.596605
0.3;5;adder;;{noise: -0.596605, n1: 0, n2: 0, sum: -0.596605, sigma: inf}
0.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.4;5;adder;;{noise: -2.80165, n1: 0, n2: 0, sum: -2.80165, sigma: 0}
0.4;6;noise;noise_out;-2.80165
0.4;6;noise;;{value: 10.2341, sigma: 0.1}
0.4;1;electrode;;{input: -2.80165, threshold: 25, sigma: inf}
0.4;5;adder;sum_out;-2.80165
0.4;5;adder;;{noise: -2.80165, n1: 0, n2: 0, sum: -2.80165, sigma: inf}
0.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.5;5;adder;;{noise: 10.2341, n1: 0, n2: 0, sum: 10.2341, sigma: 0}
0.5;6;noise;noise_out;10.2341
0.5;6;noise;;{value: 4.68345, sigma: 0.1}
0.5;1;electrode;;{input: 10.2341, threshold: 25, sigma: inf}
0.5;5;adder;sum_out;10.2341
0.5;5;adder;;{noise: 10.2341, n1: 0, n2: 0, sum: 10.2341, sigma: inf}
0.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.6;5;adder;;{noise: 4.68345, n1: 0, n2: 0, sum: 4.68345, sigma: 0}
0.6;6;noise;noise_out;4.68345
0.6;6;noise;;{value: 14.4043, sigma: 0.1}
0.6;1;electrode;;{input: 4.68345, threshold: 25, sigma: inf}
0.6;5;adder;sum_out;4.68345
0.6;5;adder;;{noise: 4.68345, n1: 0, n2: 0, sum: 4.68345, sigma: inf}
0.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.7;5;adder;;{noise: 14.4043, n1: 0, n2: 0, sum: 14.4043, sigma: 0}
0.7;6;noise;noise_out;14.4043
0.7;6;noise;;{value: 18.3782, sigma: 0.1}
0.7;1;electrode;;{input: 14.4043, threshold: 25, sigma: inf}
0.7;5;adder;sum_out;14.4043
0.7;5;adder;;{noise: 14.4043, n1: 0, n2: 0, sum: 14.4043, sigma: inf}
0.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.8;5;adder;;{noise: 18.3782, n1: 0, n2: 0, sum: 18.3782, sigma: 0}
0.8;6;noise;noise_out;18.3782
0.8;6;noise;;{value: -3.69379, sigma: 0.1}
0.8;1;electrode;;{input: 18.3782, threshold: 25, sigma: inf}
0.8;5;adder;sum_out;18.3782
0.8;5;adder;;{noise: 18.3782, n1: 0, n2: 0, sum: 18.3782, sigma: inf}
0.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.9;5;adder;;{noise: -3.69379, n1: 0, n2: 0, sum: -3.69379, sigma: 0}
0.9;6;noise;noise_out;-3.69379
0.9;6;noise;;{value: -9.53212, sigma: 0.1}
0.9;1;electrode;;{input: -3.69379, threshold: 25, sigma: inf}
0.9;5;adder;sum_out;-3.69379
0.9;5;adder;;{noise: -3.69379, n1: 0, n2: 0, sum: -3.69379, sigma: inf}
1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
1;5;adder;;{noise: -9.53212, n1: 0, n2: 0, sum: -9.53212, sigma: 0}
1;6;noise;noise_out;-9.53212
1;6;noise;;{value: -1.31852, sigma: 0.1}
1;1;electrode;;{input: -9.53212, threshold: 25, sigma: inf}
1;5;adder;sum_out;-9.53212
1;5;adder;;{noise: -9.53212, n1: 0, n2: 0, sum: -9.53212, sigma: inf}
1.1;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
1.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
