sep=;
time;model_id;model_name;port_name;data
0;1;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.1;1;neuron;potential_out;30
0.1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.2;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.4;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.6;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.7;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.8;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.9;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1.1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.2;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.4;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.6;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.7;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.8;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.9;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
2;1;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2.1;1;neuron;potential_out;30
2.1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
2.2;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
2.3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
2.4;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
2.5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
2.6;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
2.7;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
2.8;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
2.9;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
3.1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
3.2;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
3.3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
3.4;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
3.5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
3.6;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
3.7;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
3.8;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
3.9;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
4;1;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
4.1;1;neuron;potential_out;30
4.1;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
4.2;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
4.3;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
4.4;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
4.5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
4.6;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
4.7;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
4.8;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
4.9;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
5;1;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
