sep=;
time;model_id;model_name;port_name;data
0;1;noise;;{value: 0, sigma: 0.1}
0.1;1;noise;noise_out;0
0.1;1;noise;;{value: 5.06856, sigma: 0.1}
0.2;1;noise;noise_out;5.06856
0.2;1;noise;;{value: -11.5343, sigma: 0.1}
0.3;1;noise;noise_out;-11.5343
0.3;1;noise;;{value: -4.46098, sigma: 0.1}
0.4;1;noise;noise_out;-4.46098
0.4;1;noise;;{value: -3.11718, sigma: 0.1}
0.5;1;noise;noise_out;-3.11718
0.5;1;noise;;{value: 12.1581, sigma: 0.1}
0.6;1;noise;noise_out;12.1581
0.6;1;noise;;{value: -4.53186, sigma: 0.1}
0.7;1;noise;noise_out;-4.53186
0.7;1;noise;;{value: 4.38544, sigma: 0.1}
0.8;1;noise;noise_out;4.38544
0.8;1;noise;;{value: -12.8189, sigma: 0.1}
0.9;1;noise;noise_out;-12.8189
0.9;1;noise;;{value: -33.6279, sigma: 0.1}
1;1;noise;noise_out;-33.6279
1;1;noise;;{value: 3.36349, sigma: 0.1}
1.1;1;noise;noise_out;3.36349
1.1;1;noise;;{value: 2.92524, sigma: 0.1}
1.2;1;noise;noise_out;2.92524
1.2;1;noise;;{value: -11.0673, sigma: 0.1}
1.3;1;noise;noise_out;-11.0673
1.3;1;noise;;{value: 18.0176, sigma: 0.1}
1.4;1;noise;noise_out;18.0176
1.4;1;noise;;{value: 5.10762, sigma: 0.1}
1.5;1;noise;noise_out;5.10762
1.5;1;noise;;{value: -1.94375, sigma: 0.1}
1.6;1;noise;noise_out;-1.94375
1.6;1;noise;;{value: -14.0012, sigma: 0.1}
1.7;1;noise;noise_out;-14.0012
1.7;1;noise;;{value: -8.112, sigma: 0.1}
1.8;1;noise;noise_out;-8.112
1.8;1;noise;;{value: -10.6291, sigma: 0.1}
1.9;1;noise;noise_out;-10.6291
1.9;1;noise;;{value: 9.65006, sigma: 0.1}
2;1;noise;noise_out;9.65006
2;1;noise;;{value: 6.09945, sigma: 0.1}
2.1;1;noise;noise_out;6.09945
2.1;1;noise;;{value: -7.83813, sigma: 0.1}
2.2;1;noise;noise_out;-7.83813
2.2;1;noise;;{value: 8.41964, sigma: 0.1}
2.3;1;noise;noise_out;8.41964
2.3;1;noise;;{value: -6.49967, sigma: 0.1}
2.4;1;noise;noise_out;-6.49967
2.4;1;noise;;{value: 16.833, sigma: 0.1}
2.5;1;noise;noise_out;16.833
2.5;1;noise;;{value: 8.95472, sigma: 0.1}
2.6;1;noise;noise_out;8.95472
2.6;1;noise;;{value: -0.626852, sigma: 0.1}
2.7;1;noise;noise_out;-0.626852
2.7;1;noise;;{value: -2.43976, sigma: 0.1}
2.8;1;noise;noise_out;-2.43976
2.8;1;noise;;{value: -9.19054, sigma: 0.1}
2.9;1;noise;noise_out;-9.19054
2.9;1;noise;;{value: 15.5853, sigma: 0.1}
3;1;noise;noise_out;15.5853
3;1;noise;;{value: -7.84749, sigma: 0.1}
3.1;1;noise;noise_out;-7.84749
3.1;1;noise;;{value: 19.8979, sigma: 0.1}
3.2;1;noise;noise_out;19.8979
