sep=;
time;model_id;model_name;port_name;data
0;1;electrode;;{input: -100, threshold: 55, sigma: inf}
0;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;6;noise;;{value: 0, sigma: 0.1}
0.1;3;neuron2;potential_out;30
0.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.1;4;neuron1;potential_out;30
0.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.1;5;adder;;{noise: 0, n1: 30, n2: 30, sum: 49.5, sigma: 0}
0.1;6;noise;noise_out;0
0.1;6;noise;;{value: 18.7179, sigma: 0.1}
0.1;1;electrode;;{input: 49.5, threshold: 55, sigma: inf}
0.1;5;adder;sum_out;49.5
0.1;5;adder;;{noise: 0, n1: 30, n2: 30, sum: 49.5, sigma: inf}
0.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.2;5;adder;;{noise: 18.7179, n1: 0, n2: 0, sum: 18.7179, sigma: 0}
0.2;6;noise;noise_out;18.7179
0.2;6;noise;;{value: 3.91141, sigma: 0.1}
0.2;1;electrode;;{input: 18.7179, threshold: 55, sigma: inf}
0.2;5;adder;sum_out;18.7179
0.2;5;adder;;{noise: 18.7179, n1: 0, n2: 0, sum: 18.7179, sigma: inf}
0.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.3;5;adder;;{noise: 3.91141, n1: 0, n2: 0, sum: 3.91141, sigma: 0}
0.3;6;noise;noise_out;3.91141
0.3;6;noise;;{value: 5.83508, sigma: 0.1}
0.3;1;electrode;;{input: 3.91141, threshold: 55, sigma: inf}
0.3;5;adder;sum_out;3.91141
0.3;5;adder;;{noise: 3.91141, n1: 0, n2: 0, sum: 3.91141, sigma: inf}
0.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.4;5;adder;;{noise: 5.83508, n1: 0, n2: 0, sum: 5.83508, sigma: 0}
0.4;6;noise;noise_out;5.83508
0.4;6;noise;;{value: -0.281889, sigma: 0.1}
0.4;1;electrode;;{input: 5.83508, threshold: 55, sigma: inf}
0.4;5;adder;sum_out;5.83508
0.4;5;adder;;{noise: 5.83508, n1: 0, n2: 0, sum: 5.83508, sigma: inf}
0.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.5;5;adder;;{noise: -0.281889, n1: 0, n2: 0, sum: -0.281889, sigma: 0}
0.5;6;noise;noise_out;-0.281889
0.5;6;noise;;{value: 1.22805, sigma: 0.1}
0.5;1;electrode;;{input: -0.281889, threshold: 55, sigma: inf}
0.5;5;adder;sum_out;-0.281889
0.5;5;adder;;{noise: -0.281889, n1: 0, n2: 0, sum: -0.281889, sigma: inf}
0.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.6;5;adder;;{noise: 1.22805, n1: 0, n2: 0, sum: 1.22805, sigma: 0}
0.6;6;noise;noise_out;1.22805
0.6;6;noise;;{value: -2.34947, sigma: 0.1}
0.6;1;electrode;;{input: 1.22805, threshold: 55, sigma: inf}
0.6;5;adder;sum_out;1.22805
0.6;5;adder;;{noise: 1.22805, n1: 0, n2: 0, sum: 1.22805, sigma: inf}
0.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.7;5;adder;;{noise: -2.34947, n1: 0, n2: 0, sum: -2.34947, sigma: 0}
0.7;6;noise;noise_out;-2.34947
0.7;6;noise;;{value: 3.58119, sigma: 0.1}
0.7;1;electrode;;{input: -2.34947, threshold: 55, sigma: inf}
0.7;5;adder;sum_out;-2.34947
0.7;5;adder;;{noise: -2.34947, n1: 0, n2: 0, sum: -2.34947, sigma: inf}
0.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.8;5;adder;;{noise: 3.58119, n1: 0, n2: 0, sum: 3.58119, sigma: 0}
0.8;6;noise;noise_out;3.58119
0.8;6;noise;;{value: 9.24975, sigma: 0.1}
0.8;1;electrode;;{input: 3.58119, threshold: 55, sigma: inf}
0.8;5;adder;sum_out;3.58119
0.8;5;adder;;{noise: 3.58119, n1: 0, n2: 0, sum: 3.58119, sigma: inf}
0.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
0.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
0.9;5;adder;;{noise: 9.24975, n1: 0, n2: 0, sum: 9.24975, sigma: 0}
0.9;6;noise;noise_out;9.24975
0.9;6;noise;;{value: -0.119621, sigma: 0.1}
0.9;1;electrode;;{input: 9.24975, threshold: 55, sigma: inf}
0.9;5;adder;sum_out;9.24975
0.9;5;adder;;{noise: 9.24975, n1: 0, n2: 0, sum: 9.24975, sigma: inf}
1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1;5;adder;;{noise: -0.119621, n1: 0, n2: 0, sum: -0.119621, sigma: 0}
1;6;noise;noise_out;-0.119621
1;6;noise;;{value: -9.0651, sigma: 0.1}
1;1;electrode;;{input: -0.119621, threshold: 55, sigma: inf}
1;5;adder;sum_out;-0.119621
1;5;adder;;{noise: -0.119621, n1: 0, n2: 0, sum: -0.119621, sigma: inf}
1.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.1;5;adder;;{noise: -9.0651, n1: 0, n2: 0, sum: -9.0651, sigma: 0}
1.1;6;noise;noise_out;-9.0651
1.1;6;noise;;{value: 9.37445, sigma: 0.1}
1.1;1;electrode;;{input: -9.0651, threshold: 55, sigma: inf}
1.1;5;adder;sum_out;-9.0651
1.1;5;adder;;{noise: -9.0651, n1: 0, n2: 0, sum: -9.0651, sigma: inf}
1.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.2;5;adder;;{noise: 9.37445, n1: 0, n2: 0, sum: 9.37445, sigma: 0}
1.2;6;noise;noise_out;9.37445
1.2;6;noise;;{value: 13.2148, sigma: 0.1}
1.2;1;electrode;;{input: 9.37445, threshold: 55, sigma: inf}
1.2;5;adder;sum_out;9.37445
1.2;5;adder;;{noise: 9.37445, n1: 0, n2: 0, sum: 9.37445, sigma: inf}
1.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.3;5;adder;;{noise: 13.2148, n1: 0, n2: 0, sum: 13.2148, sigma: 0}
1.3;6;noise;noise_out;13.2148
1.3;6;noise;;{value: 2.69577, sigma: 0.1}
1.3;1;electrode;;{input: 13.2148, threshold: 55, sigma: inf}
1.3;5;adder;sum_out;13.2148
1.3;5;adder;;{noise: 13.2148, n1: 0, n2: 0, sum: 13.2148, sigma: inf}
1.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.4;5;adder;;{noise: 2.69577, n1: 0, n2: 0, sum: 2.69577, sigma: 0}
1.4;6;noise;noise_out;2.69577
1.4;6;noise;;{value: -7.83495, sigma: 0.1}
1.4;1;electrode;;{input: 2.69577, threshold: 55, sigma: inf}
1.4;5;adder;sum_out;2.69577
1.4;5;adder;;{noise: 2.69577, n1: 0, n2: 0, sum: 2.69577, sigma: inf}
1.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;5;adder;;{noise: -7.83495, n1: 0, n2: 0, sum: -7.83495, sigma: 0}
1.5;6;noise;noise_out;-7.83495
1.5;6;noise;;{value: -0.831607, sigma: 0.1}
1.5;1;electrode;;{input: -7.83495, threshold: 55, sigma: inf}
1.5;5;adder;sum_out;-7.83495
1.5;5;adder;;{noise: -7.83495, n1: 0, n2: 0, sum: -7.83495, sigma: inf}
1.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;5;adder;;{noise: -0.831607, n1: 0, n2: 0, sum: -0.831607, sigma: 0}
1.6;6;noise;noise_out;-0.831607
1.6;6;noise;;{value: -0.940804, sigma: 0.1}
1.6;1;electrode;;{input: -0.831607, threshold: 55, sigma: inf}
1.6;5;adder;sum_out;-0.831607
1.6;5;adder;;{noise: -0.831607, n1: 0, n2: 0, sum: -0.831607, sigma: inf}
1.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;5;adder;;{noise: -0.940804, n1: 0, n2: 0, sum: -0.940804, sigma: 0}
1.7;6;noise;noise_out;-0.940804
1.7;6;noise;;{value: -11.8751, sigma: 0.1}
1.7;1;electrode;;{input: -0.940804, threshold: 55, sigma: inf}
1.7;5;adder;sum_out;-0.940804
1.7;5;adder;;{noise: -0.940804, n1: 0, n2: 0, sum: -0.940804, sigma: inf}
1.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;5;adder;;{noise: -11.8751, n1: 0, n2: 0, sum: -11.8751, sigma: 0}
1.8;6;noise;noise_out;-11.8751
1.8;6;noise;;{value: 12.4137, sigma: 0.1}
1.8;1;electrode;;{input: -11.8751, threshold: 55, sigma: inf}
1.8;5;adder;sum_out;-11.8751
1.8;5;adder;;{noise: -11.8751, n1: 0, n2: 0, sum: -11.8751, sigma: inf}
1.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;5;adder;;{noise: 12.4137, n1: 0, n2: 0, sum: 12.4137, sigma: 0}
1.9;6;noise;noise_out;12.4137
1.9;6;noise;;{value: -15.5302, sigma: 0.1}
1.9;1;electrode;;{input: 12.4137, threshold: 55, sigma: inf}
1.9;5;adder;sum_out;12.4137
1.9;5;adder;;{noise: 12.4137, n1: 0, n2: 0, sum: 12.4137, sigma: inf}
2;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;5;adder;;{noise: -15.5302, n1: 0, n2: 0, sum: -15.5302, sigma: 0}
2;6;noise;noise_out;-15.5302
2;6;noise;;{value: -2.43569, sigma: 0.1}
2;1;electrode;;{input: -15.5302, threshold: 55, sigma: inf}
2;5;adder;sum_out;-15.5302
