time;model_id;model_name;port_name;data
0;1;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;3;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;4;noise;;{value: 0, sigma: 0.1}
0.1;1;neuron2;potential_out;30
0.1;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.1;2;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.1;3;adder;;{noise: 0, n1: 0, n2: 30, sum: 22.5, sigma: 0}
0.1;4;noise;noise_out;0
0.1;4;noise;;{value: 12.809, sigma: 0.1}
0.1;3;adder;sum_out;22.5
0.1;3;adder;;{noise: 0, n1: 0, n2: 30, sum: 22.5, sigma: inf}
0.2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.2;2;neuron1;potential_out;30
0.2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.2;3;adder;;{noise: 12.809, n1: 30, n2: 0, sum: 39.809, sigma: 0}
0.2;4;noise;noise_out;12.809
0.2;4;noise;;{value: -4.9571, sigma: 0.1}
0.2;3;adder;sum_out;39.809
0.2;3;adder;;{noise: 12.809, n1: 30, n2: 0, sum: 39.809, sigma: inf}
0.3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.3;3;adder;;{noise: -4.9571, n1: 0, n2: 0, sum: -4.9571, sigma: 0}
0.3;4;noise;noise_out;-4.9571
0.3;4;noise;;{value: -2.61281, sigma: 0.1}
0.3;3;adder;sum_out;-4.9571
0.3;3;adder;;{noise: -4.9571, n1: 0, n2: 0, sum: -4.9571, sigma: inf}
0.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.4;3;adder;;{noise: -2.61281, n1: 0, n2: 0, sum: -2.61281, sigma: 0}
0.4;4;noise;noise_out;-2.61281
0.4;4;noise;;{value: 3.57718, sigma: 0.1}
0.4;3;adder;sum_out;-2.61281
0.4;3;adder;;{noise: -2.61281, n1: 0, n2: 0, sum: -2.61281, sigma: inf}
0.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.5;3;adder;;{noise: 3.57718, n1: 0, n2: 0, sum: 3.57718, sigma: 0}
0.5;4;noise;noise_out;3.57718
0.5;4;noise;;{value: 15.7475, sigma: 0.1}
0.5;3;adder;sum_out;3.57718
0.5;3;adder;;{noise: 3.57718, n1: 0, n2: 0, sum: 3.57718, sigma: inf}
0.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.6;3;adder;;{noise: 15.7475, n1: 0, n2: 0, sum: 15.7475, sigma: 0}
0.6;4;noise;noise_out;15.7475
0.6;4;noise;;{value: 15.6118, sigma: 0.1}
0.6;3;adder;sum_out;15.7475
0.6;3;adder;;{noise: 15.7475, n1: 0, n2: 0, sum: 15.7475, sigma: inf}
0.7;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
