time;model_id;model_name;port_name;data
0;1;electrode;;{input: -100, threshold: 25, sigma: inf}
0;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;6;noise;;{value: 0, sigma: 0.1}
0.1;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.1;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: 0}
0.1;6;noise;noise_out;0
0.1;6;noise;;{value: 22.8795, sigma: 0.1}
0.1;1;electrode;;{input: 0, threshold: 25, sigma: inf}
0.1;5;adder;sum_out;0
0.1;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0.2;3;neuron2;potential_out;30
0.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.2;5;adder;;{noise: 22.8795, n1: 0, n2: 30, sum: 45.3795, sigma: 0}
0.2;6;noise;noise_out;22.8795
0.2;6;noise;;{value: -8.39258, sigma: 0.1}
0.2;1;electrode;;{input: 45.3795, threshold: 25, sigma: 0}
0.2;5;adder;sum_out;45.3795
0.2;5;adder;;{noise: 22.8795, n1: 0, n2: 30, sum: 45.3795, sigma: inf}
0.2;1;electrode;spike_out;1
0.2;1;electrode;;{input: 45.3795, threshold: 25, sigma: inf}
0.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.3;5;adder;;{noise: -8.39258, n1: 0, n2: 0, sum: -8.39258, sigma: 0}
0.3;6;noise;noise_out;-8.39258
0.3;6;noise;;{value: 1.7842, sigma: 0.1}
0.3;1;electrode;;{input: -8.39258, threshold: 25, sigma: inf}
0.3;5;adder;sum_out;-8.39258
0.3;5;adder;;{noise: -8.39258, n1: 0, n2: 0, sum: -8.39258, sigma: inf}
0.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.4;5;adder;;{noise: 1.7842, n1: 0, n2: 0, sum: 1.7842, sigma: 0}
0.4;6;noise;noise_out;1.7842
0.4;6;noise;;{value: 0.634335, sigma: 0.1}
0.4;1;electrode;;{input: 1.7842, threshold: 25, sigma: inf}
0.4;5;adder;sum_out;1.7842
0.4;5;adder;;{noise: 1.7842, n1: 0, n2: 0, sum: 1.7842, sigma: inf}
0.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.5;5;adder;;{noise: 0.634335, n1: 0, n2: 0, sum: 0.634335, sigma: 0}
0.5;6;noise;noise_out;0.634335
0.5;6;noise;;{value: -5.56287, sigma: 0.1}
0.5;1;electrode;;{input: 0.634335, threshold: 25, sigma: inf}
0.5;5;adder;sum_out;0.634335
0.5;5;adder;;{noise: 0.634335, n1: 0, n2: 0, sum: 0.634335, sigma: inf}
0.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.6;5;adder;;{noise: -5.56287, n1: 0, n2: 0, sum: -5.56287, sigma: 0}
0.6;6;noise;noise_out;-5.56287
0.6;6;noise;;{value: -2.24212, sigma: 0.1}
0.6;1;electrode;;{input: -5.56287, threshold: 25, sigma: inf}
0.6;5;adder;sum_out;-5.56287
0.6;5;adder;;{noise: -5.56287, n1: 0, n2: 0, sum: -5.56287, sigma: inf}
0.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.7;5;adder;;{noise: -2.24212, n1: 0, n2: 0, sum: -2.24212, sigma: 0}
0.7;6;noise;noise_out;-2.24212
0.7;6;noise;;{value: 7.7532, sigma: 0.1}
0.7;1;electrode;;{input: -2.24212, threshold: 25, sigma: inf}
0.7;5;adder;sum_out;-2.24212
0.7;5;adder;;{noise: -2.24212, n1: 0, n2: 0, sum: -2.24212, sigma: inf}
0.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.8;5;adder;;{noise: 7.7532, n1: 0, n2: 0, sum: 7.7532, sigma: 0}
0.8;6;noise;noise_out;7.7532
0.8;6;noise;;{value: -3.05366, sigma: 0.1}
0.8;1;electrode;;{input: 7.7532, threshold: 25, sigma: inf}
0.8;5;adder;sum_out;7.7532
0.8;5;adder;;{noise: 7.7532, n1: 0, n2: 0, sum: 7.7532, sigma: inf}
0.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.9;5;adder;;{noise: -3.05366, n1: 0, n2: 0, sum: -3.05366, sigma: 0}
0.9;6;noise;noise_out;-3.05366
0.9;6;noise;;{value: -5.74666, sigma: 0.1}
0.9;1;electrode;;{input: -3.05366, threshold: 25, sigma: inf}
0.9;5;adder;sum_out;-3.05366
0.9;5;adder;;{noise: -3.05366, n1: 0, n2: 0, sum: -3.05366, sigma: inf}
1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
1;5;adder;;{noise: -5.74666, n1: 0, n2: 0, sum: -5.74666, sigma: 0}
1;6;noise;noise_out;-5.74666
1;6;noise;;{value: 6.88864, sigma: 0.1}
1;1;electrode;;{input: -5.74666, threshold: 25, sigma: inf}
1;5;adder;sum_out;-5.74666
1;5;adder;;{noise: -5.74666, n1: 0, n2: 0, sum: -5.74666, sigma: inf}
