time;model_id;model_name;port_name;data
0;1;noise;;{value: 0, sigma: 0.1}
0.1;1;noise;noise_out;0
0.1;1;noise;;{value: -8.69577, sigma: 0.1}
0.2;1;noise;noise_out;-8.69577
0.2;1;noise;;{value: 0.577015, sigma: 0.1}
0.3;1;noise;noise_out;0.577015
0.3;1;noise;;{value: -3.37985, sigma: 0.1}
0.4;1;noise;noise_out;-3.37985
0.4;1;noise;;{value: 8.11714, sigma: 0.1}
0.5;1;noise;noise_out;8.11714
0.5;1;noise;;{value: -2.14789, sigma: 0.1}
0.6;1;noise;noise_out;-2.14789
0.6;1;noise;;{value: 2.89652, sigma: 0.1}
0.7;1;noise;noise_out;2.89652
0.7;1;noise;;{value: 16.5831, sigma: 0.1}
0.8;1;noise;noise_out;16.5831
0.8;1;noise;;{value: 0.778111, sigma: 0.1}
0.9;1;noise;noise_out;0.778111
0.9;1;noise;;{value: 4.28614, sigma: 0.1}
1;1;noise;noise_out;4.28614
1;1;noise;;{value: 0.549038, sigma: 0.1}
1.1;1;noise;noise_out;0.549038
1.1;1;noise;;{value: -8.80381, sigma: 0.1}
1.2;1;noise;noise_out;-8.80381
1.2;1;noise;;{value: 6.41158, sigma: 0.1}
1.3;1;noise;noise_out;6.41158
1.3;1;noise;;{value: 0.598741, sigma: 0.1}
1.4;1;noise;noise_out;0.598741
1.4;1;noise;;{value: -8.39061, sigma: 0.1}
1.5;1;noise;noise_out;-8.39061
1.5;1;noise;;{value: -1.31445, sigma: 0.1}
1.6;1;noise;noise_out;-1.31445
1.6;1;noise;;{value: 0.806342, sigma: 0.1}
1.7;1;noise;noise_out;0.806342
1.7;1;noise;;{value: -15.9992, sigma: 0.1}
1.8;1;noise;noise_out;-15.9992
1.8;1;noise;;{value: -14.1637, sigma: 0.1}
1.9;1;noise;noise_out;-14.1637
1.9;1;noise;;{value: 4.16441, sigma: 0.1}
2;1;noise;noise_out;4.16441
2;1;noise;;{value: -6.74601, sigma: 0.1}
2.1;1;noise;noise_out;-6.74601
2.1;1;noise;;{value: -16.0692, sigma: 0.1}
2.2;1;noise;noise_out;-16.0692
2.2;1;noise;;{value: 2.62846, sigma: 0.1}
2.3;1;noise;noise_out;2.62846
2.3;1;noise;;{value: 7.14323, sigma: 0.1}
2.4;1;noise;noise_out;7.14323
2.4;1;noise;;{value: -7.91734, sigma: 0.1}
2.5;1;noise;noise_out;-7.91734
2.5;1;noise;;{value: 4.23176, sigma: 0.1}
2.6;1;noise;noise_out;4.23176
2.6;1;noise;;{value: -13.4042, sigma: 0.1}
2.7;1;noise;noise_out;-13.4042
2.7;1;noise;;{value: 3.29698, sigma: 0.1}
2.8;1;noise;noise_out;3.29698
2.8;1;noise;;{value: -2.49998, sigma: 0.1}
2.9;1;noise;noise_out;-2.49998
2.9;1;noise;;{value: 11.9982, sigma: 0.1}
3;1;noise;noise_out;11.9982
3;1;noise;;{value: -29.2568, sigma: 0.1}
3.1;1;noise;noise_out;-29.2568
3.1;1;noise;;{value: -6.48019, sigma: 0.1}
3.2;1;noise;noise_out;-6.48019
