time;model_id;model_name;port_name;data
0;1;electrode;;{input: -100, threshold: 55, sigma: inf}
0;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0;5;adder;;{noise: 0, n1: 0, n2: 0, sum: 0, sigma: inf}
0;6;noise;;{value: 0, sigma: 0.1}
0.1;3;neuron2;potential_out;30
0.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.1;4;neuron1;potential_out;30
0.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.1;5;adder;;{noise: 0, n1: 30, n2: 30, sum: 49.5, sigma: 0}
0.1;6;noise;noise_out;0
0.1;6;noise;;{value: 2.93866, sigma: 0.1}
0.1;1;electrode;;{input: 49.5, threshold: 55, sigma: inf}
0.1;5;adder;sum_out;49.5
0.1;5;adder;;{noise: 0, n1: 30, n2: 30, sum: 49.5, sigma: inf}
0.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.2;5;adder;;{noise: 2.93866, n1: 0, n2: 0, sum: 2.93866, sigma: 0}
0.2;6;noise;noise_out;2.93866
0.2;6;noise;;{value: 10.7025, sigma: 0.1}
0.2;1;electrode;;{input: 2.93866, threshold: 55, sigma: inf}
0.2;5;adder;sum_out;2.93866
0.2;5;adder;;{noise: 2.93866, n1: 0, n2: 0, sum: 2.93866, sigma: inf}
0.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.3;5;adder;;{noise: 10.7025, n1: 0, n2: 0, sum: 10.7025, sigma: 0}
0.3;6;noise;noise_out;10.7025
0.3;6;noise;;{value: -3.51446, sigma: 0.1}
0.3;1;electrode;;{input: 10.7025, threshold: 55, sigma: inf}
0.3;5;adder;sum_out;10.7025
0.3;5;adder;;{noise: 10.7025, n1: 0, n2: 0, sum: 10.7025, sigma: inf}
0.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.4;5;adder;;{noise: -3.51446, n1: 0, n2: 0, sum: -3.51446, sigma: 0}
0.4;6;noise;noise_out;-3.51446
0.4;6;noise;;{value: -10.7494, sigma: 0.1}
0.4;1;electrode;;{input: -3.51446, threshold: 55, sigma: inf}
0.4;5;adder;sum_out;-3.51446
0.4;5;adder;;{noise: -3.51446, n1: 0, n2: 0, sum: -3.51446, sigma: inf}
0.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
0.5;5;adder;;{noise: -10.7494, n1: 0, n2: 0, sum: -10.7494, sigma: 0}
0.5;6;noise;noise_out;-10.7494
0.5;6;noise;;{value: -0.391832, sigma: 0.1}
0.5;1;electrode;;{input: -10.7494, threshold: 55, sigma: inf}
0.5;5;adder;sum_out;-10.7494
0.5;5;adder;;{noise: -10.7494, n1: 0, n2: 0, sum: -10.7494, sigma: inf}
0.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
0.6;5;adder;;{noise: -0.391832, n1: 0, n2: 0, sum: -0.391832, sigma: 0}
0.6;6;noise;noise_out;-0.391832
0.6;6;noise;;{value: -9.51808, sigma: 0.1}
0.6;1;electrode;;{input: -0.391832, threshold: 55, sigma: inf}
0.6;5;adder;sum_out;-0.391832
0.6;5;adder;;{noise: -0.391832, n1: 0, n2: 0, sum: -0.391832, sigma: inf}
0.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
0.7;5;adder;;{noise: -9.51808, n1: 0, n2: 0, sum: -9.51808, sigma: 0}
0.7;6;noise;noise_out;-9.51808
0.7;6;noise;;{value: -11.3405, sigma: 0.1}
0.7;1;electrode;;{input: -9.51808, threshold: 55, sigma: inf}
0.7;5;adder;sum_out;-9.51808
0.7;5;adder;;{noise: -9.51808, n1: 0, n2: 0, sum: -9.51808, sigma: inf}
0.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
0.8;5;adder;;{noise: -11.3405, n1: 0, n2: 0, sum: -11.3405, sigma: 0}
0.8;6;noise;noise_out;-11.3405
0.8;6;noise;;{value: -3.57288, sigma: 0.1}
0.8;1;electrode;;{input: -11.3405, threshold: 55, sigma: inf}
0.8;5;adder;sum_out;-11.3405
0.8;5;adder;;{noise: -11.3405, n1: 0, n2: 0, sum: -11.3405, sigma: inf}
0.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
0.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
0.9;5;adder;;{noise: -3.57288, n1: 0, n2: 0, sum: -3.57288, sigma: 0}
0.9;6;noise;noise_out;-3.57288
0.9;6;noise;;{value: 9.80385, sigma: 0.1}
0.9;1;electrode;;{input: -3.57288, threshold: 55, sigma: inf}
0.9;5;adder;sum_out;-3.57288
0.9;5;adder;;{noise: -3.57288, n1: 0, n2: 0, sum: -3.57288, sigma: inf}
1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1;5;adder;;{noise: 9.80385, n1: 0, n2: 0, sum: 9.80385, sigma: 0}
1;6;noise;noise_out;9.80385
1;6;noise;;{value: -2.67273, sigma: 0.1}
1;1;electrode;;{input: 9.80385, threshold: 55, sigma: inf}
1;5;adder;sum_out;9.80385
1;5;adder;;{noise: 9.80385, n1: 0, n2: 0, sum: 9.80385, sigma: inf}
1.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.1;5;adder;;{noise: -2.67273, n1: 0, n2: 0, sum: -2.67273, sigma: 0}
1.1;6;noise;noise_out;-2.67273
1.1;6;noise;;{value: -10.5463, sigma: 0.1}
1.1;1;electrode;;{input: -2.67273, threshold: 55, sigma: inf}
1.1;5;adder;sum_out;-2.67273
1.1;5;adder;;{noise: -2.67273, n1: 0, n2: 0, sum: -2.67273, sigma: inf}
1.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.2;5;adder;;{noise: -10.5463, n1: 0, n2: 0, sum: -10.5463, sigma: 0}
1.2;6;noise;noise_out;-10.5463
1.2;6;noise;;{value: 1.92736, sigma: 0.1}
1.2;1;electrode;;{input: -10.5463, threshold: 55, sigma: inf}
1.2;5;adder;sum_out;-10.5463
1.2;5;adder;;{noise: -10.5463, n1: 0, n2: 0, sum: -10.5463, sigma: inf}
1.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.3;5;adder;;{noise: 1.92736, n1: 0, n2: 0, sum: 1.92736, sigma: 0}
1.3;6;noise;noise_out;1.92736
1.3;6;noise;;{value: -12.2208, sigma: 0.1}
1.3;1;electrode;;{input: 1.92736, threshold: 55, sigma: inf}
1.3;5;adder;sum_out;1.92736
1.3;5;adder;;{noise: 1.92736, n1: 0, n2: 0, sum: 1.92736, sigma: inf}
1.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.4;5;adder;;{noise: -12.2208, n1: 0, n2: 0, sum: -12.2208, sigma: 0}
1.4;6;noise;noise_out;-12.2208
1.4;6;noise;;{value: -6.48014, sigma: 0.1}
1.4;1;electrode;;{input: -12.2208, threshold: 55, sigma: inf}
1.4;5;adder;sum_out;-12.2208
1.4;5;adder;;{noise: -12.2208, n1: 0, n2: 0, sum: -12.2208, sigma: inf}
1.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;5;adder;;{noise: -6.48014, n1: 0, n2: 0, sum: -6.48014, sigma: 0}
1.5;6;noise;noise_out;-6.48014
1.5;6;noise;;{value: -2.01665, sigma: 0.1}
1.5;1;electrode;;{input: -6.48014, threshold: 55, sigma: inf}
1.5;5;adder;sum_out;-6.48014
1.5;5;adder;;{noise: -6.48014, n1: 0, n2: 0, sum: -6.48014, sigma: inf}
1.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;5;adder;;{noise: -2.01665, n1: 0, n2: 0, sum: -2.01665, sigma: 0}
1.6;6;noise;noise_out;-2.01665
1.6;6;noise;;{value: -2.89981, sigma: 0.1}
1.6;1;electrode;;{input: -2.01665, threshold: 55, sigma: inf}
1.6;5;adder;sum_out;-2.01665
1.6;5;adder;;{noise: -2.01665, n1: 0, n2: 0, sum: -2.01665, sigma: inf}
1.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;5;adder;;{noise: -2.89981, n1: 0, n2: 0, sum: -2.89981, sigma: 0}
1.7;6;noise;noise_out;-2.89981
1.7;6;noise;;{value: 3.0044, sigma: 0.1}
1.7;1;electrode;;{input: -2.89981, threshold: 55, sigma: inf}
1.7;5;adder;sum_out;-2.89981
1.7;5;adder;;{noise: -2.89981, n1: 0, n2: 0, sum: -2.89981, sigma: inf}
1.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;5;adder;;{noise: 3.0044, n1: 0, n2: 0, sum: 3.0044, sigma: 0}
1.8;6;noise;noise_out;3.0044
1.8;6;noise;;{value: -5.61367, sigma: 0.1}
1.8;1;electrode;;{input: 3.0044, threshold: 55, sigma: inf}
1.8;5;adder;sum_out;3.0044
1.8;5;adder;;{noise: 3.0044, n1: 0, n2: 0, sum: 3.0044, sigma: inf}
1.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;5;adder;;{noise: -5.61367, n1: 0, n2: 0, sum: -5.61367, sigma: 0}
1.9;6;noise;noise_out;-5.61367
1.9;6;noise;;{value: 0.734839, sigma: 0.1}
1.9;1;electrode;;{input: -5.61367, threshold: 55, sigma: inf}
1.9;5;adder;sum_out;-5.61367
1.9;5;adder;;{noise: -5.61367, n1: 0, n2: 0, sum: -5.61367, sigma: inf}
2;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;5;adder;;{noise: 0.734839, n1: 0, n2: 0, sum: 0.734839, sigma: 0}
2;6;noise;noise_out;0.734839
2;6;noise;;{value: -10.4008, sigma: 0.1}
2;1;electrode;;{input: 0.734839, threshold: 55, sigma: inf}
2;5;adder;sum_out;0.734839
